words,Class 0,Class 1
09057039994,10.634388023957865,9.040322809638392
09058091854,10.634388023957865,9.040322809638392
09058094454,10.634388023957865,9.040322809638392
09058094507,10.634388023957865,9.040322809638392
09058094565,10.634388023957865,8.634857701530228
09058094597,10.634388023957865,9.040322809638392
09058095107,10.634388023957865,9.040322809638392
09058095201,10.634388023957865,9.040322809638392
09058098002,10.634388023957865,9.040322809638392
09058099801,10.634388023957865,9.040322809638392
09061104283,10.634388023957865,9.040322809638392
09061209465,10.634388023957865,8.347175629078446
09061213237,10.634388023957865,9.040322809638392
09061221061,10.634388023957865,8.634857701530228
09061221066,10.634388023957865,8.347175629078446
09061702893,10.634388023957865,9.040322809638392
09061743386,10.634388023957865,8.634857701530228
09061743806,10.634388023957865,9.040322809638392
09061744553,10.634388023957865,9.040322809638392
