,Class 0,Class 1
08718730666,-10.769516037258176,-9.140293373664148
08718738001,-10.769516037258176,-9.140293373664148
08718738034,-10.769516037258176,-9.140293373664148
08719180219,-10.769516037258176,-9.140293373664148
08719180248,-10.769516037258176,-8.734828265555985
08719181513,-10.769516037258176,-9.140293373664148
08719839835,-10.769516037258176,-9.140293373664148
09,-10.769516037258176,-9.140293373664148
09041940223,-10.769516037258176,-9.140293373664148
09050000332,-10.769516037258176,-9.140293373664148
09050000555,-10.769516037258176,-9.140293373664148
09050000878,-10.769516037258176,-9.140293373664148
09050001808,-10.769516037258176,-8.734828265555985
09050003091,-10.769516037258176,-8.734828265555985
09050005321,-10.769516037258176,-9.140293373664148
09050090044,-10.769516037258176,-8.224002641789994
09050280520,-10.769516037258176,-9.140293373664148
09053750005,-10.769516037258176,-9.140293373664148
09056242159,-10.769516037258176,-9.140293373664148
09057039994,-10.769516037258176,-9.140293373664148
09058091870,-10.769516037258176,-9.140293373664148
09058094454,-10.769516037258176,-9.140293373664148
09058094455,-10.769516037258176,-9.140293373664148
09058094507,-10.769516037258176,-9.140293373664148
09058094565,-10.769516037258176,-8.734828265555985
09058094583,-10.769516037258176,-9.140293373664148
09058094594,-10.769516037258176,-9.140293373664148
09058094597,-10.769516037258176,-8.734828265555985
09058095107,-10.769516037258176,-9.140293373664148
09058097218,-10.769516037258176,-9.140293373664148
09058099801,-10.769516037258176,-8.734828265555985
09061104276,-10.769516037258176,-9.140293373664148
09061209465,-10.769516037258176,-8.734828265555985
09061213237,-10.769516037258176,-8.734828265555985
09061221061,-10.769516037258176,-9.140293373664148
09061221066,-10.769516037258176,-8.224002641789994
09061701444,-10.769516037258176,-9.140293373664148
09061701461,-10.769516037258176,-8.734828265555985
09061701851,-10.769516037258176,-9.140293373664148
09061743386,-10.769516037258176,-8.734828265555985
09061743806,-10.769516037258176,-8.734828265555985
09061743810,-10.769516037258176,-9.140293373664148
09061743811,-10.769516037258176,-9.140293373664148
09061744553,-10.769516037258176,-9.140293373664148
09061749602,-10.769516037258176,-9.140293373664148
09061790121,-10.769516037258176,-8.734828265555985
09061790125,-10.769516037258176,-9.140293373664148
09061790126,-10.769516037258176,-9.140293373664148
09063440451,-10.769516037258176,-9.140293373664148
09063458130,-10.769516037258176,-9.140293373664148
09064011000,-10.769516037258176,-9.140293373664148
09064012160,-10.769516037258176,-8.734828265555985
09064017305,-10.769516037258176,-9.140293373664148
09064018838,-10.769516037258176,-9.140293373664148
09064019788,-10.769516037258176,-9.140293373664148
09065171142,-10.769516037258176,-8.734828265555985
09065174042,-10.769516037258176,-9.140293373664148
09065394514,-10.769516037258176,-9.140293373664148
09065394973,-10.769516037258176,-9.140293373664148
09065989180,-10.769516037258176,-9.140293373664148
09065989182,-10.769516037258176,-8.734828265555985
09066350750,-10.769516037258176,-9.140293373664148
09066358152,-10.769516037258176,-8.734828265555985
09066358361,-10.769516037258176,-9.140293373664148
09066361921,-10.769516037258176,-9.140293373664148
0906636206,-10.769516037258176,-9.140293373664148
09066362231,-10.769516037258176,-8.734828265555985
09066364311,-10.769516037258176,-8.734828265555985
09066364349,-10.769516037258176,-9.140293373664148
09066364589,-10.769516037258176,-8.734828265555985
09066368470,-10.769516037258176,-9.140293373664148
09066368753,-10.769516037258176,-9.140293373664148
09066382422,-10.769516037258176,-8.734828265555985
09066612661,-10.769516037258176,-8.734828265555985
09066649731de,-10.769516037258176,-9.140293373664148
09066660100,-10.769516037258176,-9.140293373664148
09071512432,-10.769516037258176,-9.140293373664148
09071512433,-10.769516037258176,-9.140293373664148
09071517866,-10.769516037258176,-9.140293373664148
